32:1293988, ack 721, win 501, length 156
02:45:23.778887 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1326664:1326820, ack 757, win 501, length 156
02:45:23.778928 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1326820:1326976, ack 757, win 501, length 156
02:45:23.779057 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1326976:1327132, ack 757, win 501, length 156
02:45:23.779489 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1322936, win 8332, length 0
02:45:23.779620 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1327132:1327392, ack 757, win 501, length 260
02:45:23.779862 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1327392:1327548, ack 757, win 501, length 156
02:45:23.779949 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1327548:1327704, ack 757, win 501, length 156
02:45:23.780001 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1327704:1327860, ack 757, win 501, length 156
02:45:23.780242 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1327860:1328016, ack 757, win 501, length 156
02:45:23.780423 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1324948, win 8337, length 0
02:45:23.780455 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1328016:1328172, ack 757, win 501, length 156
02:45:23.780546 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1328172:1328432, ack 757, win 501, length 260
02:45:23.780588 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1328432:1328588, ack 757, win 501, length 156
02:45:23.780628 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1328588:1328744, ack 757, win 501, length 156
02:45:23.780701 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1328744:1328900, ack 757, win 501, length 156
02:45:23.780741 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1328900:1329056, ack 757, win 501, length 156
02:45:23.780885 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1329056:1329212, ack 757, win 501, length 156
02:45:23.780931 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1329212:1329368, ack 757, win 501, length 156
02:45:23.780967 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1329368:1329524, ack 757, win 501, length 156
02:45:23.781004 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1329524:1329680, ack 757, win 501, length 156
02:45:23.781365 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1329680:1329836, ack 757, win 501, length 156
02:45:23.781516 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1329836:1329992, ack 757, win 501, length 156
02:45:23.781578 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1329992:1330148, ack 757, win 501, length 156
02:45:23.781731 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1330148:1330304, ack 757, win 501, length 156
02:45:23.781785 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1330304:1330460, ack 757, win 501, length 156
02:45:23.781859 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1330460:1330616, ack 757, win 501, length 156
02:45:23.781906 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1330616:1330772, ack 757, win 501, length 156
02:45:23.781952 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1330772:1330928, ack 757, win 501, length 156
02:45:23.781999 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1330928:1331084, ack 757, win 501, length 156
02:45:23.782045 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1331084:1331240, ack 757, win 501, length 156
02:45:23.782081 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1331240:1331396, ack 757, win 501, length 156
02:45:23.782121 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1331396:1331552, ack 757, win 501, length 156
02:45:23.782157 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1331552:1331708, ack 757, win 501, length 156
02:45:23.782196 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1331708:1331864, ack 757, win 501, length 156
02:45:23.782242 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1331864:1332020, ack 757, win 501, length 156
02:45:23.782287 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1332020:1332176, ack 757, win 501, length 156
02:45:23.782332 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1332176:1332332, ack 757, win 501, length 156
02:45:23.782399 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1327704, win 8337, length 0
02:45:23.782426 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1332332:1332488, ack 757, win 501, length 156
02:45:23.782487 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1332488:1332748, ack 757, win 501, length 260
02:45:23.782524 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1332748:1332904, ack 757, win 501, length 156
02:45:23.782562 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1332904:1333060, ack 757, win 501, length 156
02:45:23.782605 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1333060:1333216, ack 757, win 501, length 156
02:45:23.782648 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1333216:1333372, ack 757, win 501, length 156
02:45:23.782691 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1333372:1333528, ack 757, win 501, length 156
02:45:23.782744 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1333528:1333684, ack 757, win 501, length 156
02:45:23.782785 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1333684:1333840, ack 757, win 501, length 156
02:45:23.782829 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1333840:1333996, ack 757, win 501, length 156
02:45:23.782864 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1333996:1334152, ack 757, win 501, length 156
02:45:23.782902 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1334152:1334308, ack 757, win 501, length 156
02:45:23.782942 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1334308:1334464, ack 757, win 501, length 156
02:45:23.782978 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1334464:1334620, ack 757, win 501, length 156
02:45:23.783015 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1334620:1334776, ack 757, win 501, length 156
02:45:23.783060 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1334776:1334932, ack 757, win 501, length 156
02:45:23.783494 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1334932:1335088, ack 757, win 501, length 156
02:45:23.783598 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1335088:1335244, ack 757, win 501, length 156
02:45:23.783707 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1335244:1335400, ack 757, win 501, length 156
02:45:23.783802 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1335400:1335556, ack 757, win 501, length 156
02:45:23.783863 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1335556:1335712, ack 757, win 501, length 156
02:45:23.783915 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1335712:1335868, ack 757, win 501, length 156
02:45:23.783962 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1335868:1336024, ack 757, win 501, length 156
02:45:23.784014 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1336024:1336180, ack 757, win 501, length 156
02:45:23.784058 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1336180:1336336, ack 757, win 501, length 156
02:45:23.784104 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1336336:1336492, ack 757, win 501, length 156
02:45:23.784174 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1336492:1336648, ack 757, win 501, length 156
02:45:23.784227 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1336648:1336804, ack 757, win 501, length 156
02:45:23.785645 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1330928, win 8337, length 0
02:45:23.785705 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1336804:1336960, ack 757, win 501, length 156
02:45:23.785860 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1336960:1337220, ack 757, win 501, length 260
02:45:23.785915 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1337220:1337376, ack 757, win 501, length 156
02:45:23.785969 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1337376:1337532, ack 757, win 501, length 156
02:45:23.786133 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1337532:1337688, ack 757, win 501, length 156
02:45:23.786909 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1334776, win 8337, length 0
02:45:23.786909 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1335868, win 8333, length 0
02:45:23.786962 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1337688:1337844, ack 757, win 501, length 156
02:45:23.787488 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1337844:1338208, ack 757, win 501, length 364
02:45:23.787736 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1338208:1338364, ack 757, win 501, length 156
02:45:23.787809 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1338364:1338520, ack 757, win 501, length 156
02:45:23.787859 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1338520:1338676, ack 757, win 501, length 156
02:45:23.787905 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1338676:1338832, ack 757, win 501, length 156
02:45:23.787952 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1338832:1338988, ack 757, win 501, length 156
02:45:23.787991 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1338988:1339144, ack 757, win 501, length 156
02:45:23.788029 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1339144:1339300, ack 757, win 501, length 156
02:45:23.788077 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1339300:1339456, ack 757, win 501, length 156
02:45:23.788122 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1339456:1339612, ack 757, win 501, length 156
02:45:23.788165 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1339612:1339768, ack 757, win 501, length 156
02:45:23.788200 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1339768:1339924, ack 757, win 501, length 156
02:45:23.788237 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1339924:1340080, ack 757, win 501, length 156
02:45:23.788389 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1340080:1340236, ack 757, win 501, length 156
02:45:23.788554 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1340236:1340392, ack 757, win 501, length 156
02:45:23.788817 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1340392:1340548, ack 757, win 501, length 156
02:45:23.788911 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1340548:1340704, ack 757, win 501, length 156
02:45:23.788969 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1340704:1340860, ack 757, win 501, length 156
02:45:23.789014 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1340860:1341016, ack 757, win 501, length 156
02:45:23.789075 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1341016:1341172, ack 757, win 501, length 156
02:45:23.789240 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1341172:1341328, ack 757, win 501, length 156
02:45:23.789358 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1341328:1341484, ack 757, win 501, length 156
02:45:23.789417 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1341484:1341640, ack 757, win 501, length 156
02:45:23.789471 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1337376, win 8337, length 0
02:45:23.789545 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1341640:1341900, ack 757, win 501, length 260
02:45:23.789628 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1341900:1342056, ack 757, win 501, length 156
02:45:23.789673 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1342056:1342212, ack 757, win 501, length 156
02:45:23.789795 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1342212:1342368, ack 757, win 501, length 156
02:45:23.789862 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1342368:1342524, ack 757, win 501, length 156
02:45:23.789914 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1342524:1342680, ack 757, win 501, length 156
02:45:23.789966 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1342680:1342836, ack 757, win 501, length 156
02:45:23.790014 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1342836:1342992, ack 757, win 501, length 156
02:45:23.790091 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1342992:1343148, ack 757, win 501, length 156
02:45:23.790164 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1343148:1343304, ack 757, win 501, length 156
02:45:23.790405 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1338676, win 8332, length 0
02:45:23.790430 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1343304:1343460, ack 757, win 501, length 156
02:45:23.790495 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1343460:1343720, ack 757, win 501, length 260
02:45:23.790534 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1343720:1343876, ack 757, win 501, length 156
02:45:23.790573 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1343876:1344032, ack 757, win 501, length 156
02:45:23.790616 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1344032:1344188, ack 757, win 501, length 156
02:45:23.790663 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1344188:1344344, ack 757, win 501, length 156
02:45:23.790706 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1344344:1344500, ack 757, win 501, length 156
02:45:23.790743 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1344500:1344656, ack 757, win 501, length 156
02:45:23.790780 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1344656:1344812, ack 757, win 501, length 156
02:45:23.790826 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1344812:1344968, ack 757, win 501, length 156
02:45:23.790864 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1344968:1345124, ack 757, win 501, length 156
02:45:23.790908 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1345124:1345280, ack 757, win 501, length 156
02:45:23.790957 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1345280:1345436, ack 757, win 501, length 156
02:45:23.791034 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1345436:1345592, ack 757, win 501, length 156
02:45:23.791678 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1345592:1345748, ack 757, win 501, length 156
02:45:23.792049 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1345748:1345904, ack 757, win 501, length 156
02:45:23.792392 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1345904:1346060, ack 757, win 501, length 156
02:45:23.792442 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1341640, win 8337, length 0
02:45:23.792443 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1342368, win 8334, length 0
02:45:23.792443 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1343148, win 8337, length 0
02:45:23.792636 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1346060:1346528, ack 757, win 501, length 468
02:45:23.792773 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1346528:1346684, ack 757, win 501, length 156
02:45:23.792967 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1346684:1346840, ack 757, win 501, length 156
02:45:23.793020 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1346840:1346996, ack 757, win 501, length 156
02:45:23.793066 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1346996:1347152, ack 757, win 501, length 156
02:45:23.793113 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1347152:1347308, ack 757, win 501, length 156
02:45:23.793159 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1347308:1347464, ack 757, win 501, length 156
02:45:23.793195 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1347464:1347620, ack 757, win 501, length 156
02:45:23.793233 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1347620:1347776, ack 757, win 501, length 156
02:45:23.793279 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1347776:1347932, ack 757, win 501, length 156
02:45:23.793330 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1347932:1348088, ack 757, win 501, length 156
02:45:23.793379 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1348088:1348244, ack 757, win 501, length 156
02:45:23.793574 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1348244:1348400, ack 757, win 501, length 156
02:45:23.794290 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1348400:1348556, ack 757, win 501, length 156
02:45:23.794653 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1345748, win 8337, length 0
02:45:23.794702 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1348556:1348712, ack 757, win 501, length 156
02:45:23.794822 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1348712:1348972, ack 757, win 501, length 260
02:45:23.795028 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1348972:1349128, ack 757, win 501, length 156
02:45:23.795082 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1349128:1349284, ack 757, win 501, length 156
02:45:23.795613 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1349284:1349440, ack 757, win 501, length 156
02:45:23.795700 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1349440:1349596, ack 757, win 501, length 156
02:45:23.795748 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1349596:1349752, ack 757, win 501, length 156
02:45:23.795795 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1349752:1349908, ack 757, win 501, length 156
02:45:23.795889 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1349908:1350064, ack 757, win 501, length 156
02:45:23.795944 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1350064:1350220, ack 757, win 501, length 156
02:45:23.795993 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1350220:1350376, ack 757, win 501, length 156
02:45:23.796665 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1348244, win 8337, length 0
02:45:23.796806 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1350376:1350636, ack 757, win 501, length 260
02:45:23.796883 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1350636:1350792, ack 757, win 501, length 156
02:45:23.797085 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1350792:1350948, ack 757, win 501, length 156
02:45:23.797435 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1350948:1351104, ack 757, win 501, length 156
02:45:23.797576 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1351104:1351260, ack 757, win 501, length 156
02:45:23.797817 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1351260:1351416, ack 757, win 501, length 156
